"year","statement.dates","links"
"2007","20070131","https://www.federalreserve.gov/newsevents/pressreleases/monetary20070131a.htm"
"2007","20070321","https://www.federalreserve.gov/newsevents/pressreleases/monetary20070321a.htm"
"2007","20070509","https://www.federalreserve.gov/newsevents/pressreleases/monetary20070509a.htm"
"2007","20070628","https://www.federalreserve.gov/newsevents/pressreleases/monetary20070618a.htm"
"2007","20070807","https://www.federalreserve.gov/newsevents/pressreleases/monetary20070807a.htm"
"2007","20070817","https://www.federalreserve.gov/newsevents/pressreleases/monetary20070817b.htm"
"2007","20070918","https://www.federalreserve.gov/newsevents/pressreleases/monetary20070918a.htm"
"2007","20071031","https://www.federalreserve.gov/newsevents/pressreleases/monetary20071031a.htm"
"2007","20071211","https://www.federalreserve.gov/newsevents/pressreleases/monetary20071211a.htm"
"2008","20080122","https://www.federalreserve.gov/newsevents/pressreleases/monetary20080122b.htm"
"2008","20080130","https://www.federalreserve.gov/newsevents/pressreleases/monetary20080130a.htm"
"2008","20080318","https://www.federalreserve.gov/newsevents/pressreleases/monetary20080318a.htm"
"2008","20080430","https://www.federalreserve.gov/newsevents/pressreleases/monetary20080430a.htm"
"2008","20080625","https://www.federalreserve.gov/newsevents/pressreleases/monetary20080625a.htm"
"2008","20080805","https://www.federalreserve.gov/newsevents/pressreleases/monetary20080805a.htm"
"2008","20080916","https://www.federalreserve.gov/newsevents/pressreleases/monetary20080916a.htm"
"2008","20081008","https://www.federalreserve.gov/newsevents/pressreleases/monetary20081008a.htm"
"2008","20081029","https://www.federalreserve.gov/newsevents/pressreleases/monetary20081029a.htm"
"2008","20081216","https://www.federalreserve.gov/newsevents/pressreleases/monetary20081216b.htm"
"2009","20090128","https://www.federalreserve.gov/newsevents/pressreleases/monetary20090128a.htm"
"2009","20090318","https://www.federalreserve.gov/newsevents/pressreleases/monetary20090318a.htm"
"2009","20090429","https://www.federalreserve.gov/newsevents/pressreleases/monetary20090429a.htm"
"2009","20090624","https://www.federalreserve.gov/newsevents/pressreleases/monetary20090624a.htm"
"2009","20090812","https://www.federalreserve.gov/newsevents/pressreleases/monetary20090812a.htm"
"2009","20090923","https://www.federalreserve.gov/newsevents/pressreleases/monetary20090923a.htm"
"2009","20091104","https://www.federalreserve.gov/newsevents/pressreleases/monetary20091104a.htm"
"2009","20091216","https://www.federalreserve.gov/newsevents/pressreleases/monetary20091216a.htm"
"2010","20100127","https://www.federalreserve.gov/newsevents/pressreleases/monetary20100127a.htm"
"2010","20100316","https://www.federalreserve.gov/newsevents/pressreleases/monetary20100316a.htm"
"2010","20100428","https://www.federalreserve.gov/newsevents/pressreleases/monetary20100428a.htm"
"2010","20100623","https://www.federalreserve.gov/newsevents/pressreleases/monetary20100623a.htm"
"2010","20100810","https://www.federalreserve.gov/newsevents/pressreleases/monetary20100810a.htm"
"2010","20100921","https://www.federalreserve.gov/newsevents/pressreleases/monetary20100921a.htm"
"2010","20101103","https://www.federalreserve.gov/newsevents/pressreleases/monetary20101103a.htm"
"2010","20101214","https://www.federalreserve.gov/newsevents/pressreleases/monetary20101214a.htm"
"2011","20110126","https://www.federalreserve.gov/newsevents/pressreleases/monetary20110126a.htm"
"2011","20110315","https://www.federalreserve.gov/newsevents/pressreleases/monetary20110315a.htm"
"2011","20110427","https://www.federalreserve.gov/newsevents/pressreleases/monetary20110427a.htm"
"2011","20110622","https://www.federalreserve.gov/newsevents/pressreleases/monetary20110622a.htm"
"2011","20110809","https://www.federalreserve.gov/newsevents/pressreleases/monetary20110809a.htm"
"2011","20110921","https://www.federalreserve.gov/newsevents/pressreleases/monetary20110921a.htm"
"2011","20111102","https://www.federalreserve.gov/newsevents/pressreleases/monetary20111102a.htm"
"2011","20111213","https://www.federalreserve.gov/newsevents/pressreleases/monetary20111213a.htm"
"2012","20120125","https://www.federalreserve.gov/newsevents/pressreleases/monetary20120125a.htm"
"2012","20120313","https://www.federalreserve.gov/newsevents/pressreleases/monetary20120313a.htm"
"2012","20120425","https://www.federalreserve.gov/newsevents/pressreleases/monetary20120425a.htm"
"2012","20120620","https://www.federalreserve.gov/newsevents/pressreleases/monetary20120620a.htm"
"2012","20120801","https://www.federalreserve.gov/newsevents/pressreleases/monetary20120801a.htm"
"2012","20120913","https://www.federalreserve.gov/newsevents/pressreleases/monetary20120913a.htm"
"2012","20121024","https://www.federalreserve.gov/newsevents/pressreleases/monetary20121024a.htm"
"2012","20121212","https://www.federalreserve.gov/newsevents/pressreleases/monetary20121212a.htm"
"2013","20130130","https://www.federalreserve.gov/newsevents/pressreleases/monetary20130130a.htm"
"2013","20130320","https://www.federalreserve.gov/newsevents/pressreleases/monetary20130320a.htm"
"2013","20130501","https://www.federalreserve.gov/newsevents/pressreleases/monetary20130501a.htm"
"2013","20130619","https://www.federalreserve.gov/newsevents/pressreleases/monetary20130619a.htm"
"2013","20130731","https://www.federalreserve.gov/newsevents/pressreleases/monetary20130731a.htm"
"2013","20130918","https://www.federalreserve.gov/newsevents/pressreleases/monetary20130918a.htm"
"2013","20131030","https://www.federalreserve.gov/newsevents/pressreleases/monetary20131030a.htm"
"2013","20131218","https://www.federalreserve.gov/newsevents/pressreleases/monetary20131218a.htm"
"2014","20140129","https://www.federalreserve.gov/newsevents/pressreleases/monetary20140129a.htm"
"2014","20140319","https://www.federalreserve.gov/newsevents/pressreleases/monetary20140319a.htm"
"2014","20140430","https://www.federalreserve.gov/newsevents/pressreleases/monetary20140430a.htm"
"2014","20140618","https://www.federalreserve.gov/newsevents/pressreleases/monetary20140618a.htm"
"2014","20140730","https://www.federalreserve.gov/newsevents/pressreleases/monetary20140730a.htm"
"2014","20140917","https://www.federalreserve.gov/newsevents/pressreleases/monetary20140917a.htm"
"2014","20141029","https://www.federalreserve.gov/newsevents/pressreleases/monetary20141029a.htm"
"2014","20141217","https://www.federalreserve.gov/newsevents/pressreleases/monetary20141217a.htm"
"2015","20150128","https://www.federalreserve.gov/newsevents/pressreleases/monetary20150128a.htm"
"2015","20150318","https://www.federalreserve.gov/newsevents/pressreleases/monetary20150318a.htm"
"2015","20150429","https://www.federalreserve.gov/newsevents/pressreleases/monetary20150429a.htm"
"2015","20150617","https://www.federalreserve.gov/newsevents/pressreleases/monetary20150617a.htm"
"2015","20150729","https://www.federalreserve.gov/newsevents/pressreleases/monetary20150729a.htm"
"2015","20150917","https://www.federalreserve.gov/newsevents/pressreleases/monetary20150917a.htm"
"2015","20151028","https://www.federalreserve.gov/newsevents/pressreleases/monetary20151028a.htm"
"2015","20151216","https://www.federalreserve.gov/newsevents/pressreleases/monetary20151216a.htm"
"2016","20160127","https://www.federalreserve.gov/newsevents/pressreleases/monetary20160127a.htm"
"2016","20160316","https://www.federalreserve.gov/newsevents/pressreleases/monetary20160316a.htm"
"2016","20160427","https://www.federalreserve.gov/newsevents/pressreleases/monetary20160427a.htm"
"2016","20160615","https://www.federalreserve.gov/newsevents/pressreleases/monetary20160615a.htm"
"2016","20160727","https://www.federalreserve.gov/newsevents/pressreleases/monetary20160727a.htm"
"2016","20160921","https://www.federalreserve.gov/newsevents/pressreleases/monetary20160921a.htm"
"2016","20161102","https://www.federalreserve.gov/newsevents/pressreleases/monetary20161102a.htm"
"2016","20161214","https://www.federalreserve.gov/newsevents/pressreleases/monetary20161214a.htm"
"2017","20170201","https://www.federalreserve.gov/newsevents/pressreleases/monetary20170201a.htm"
"2017","20170315","https://www.federalreserve.gov/newsevents/pressreleases/monetary20170315a.htm"
"2017","20170503","https://www.federalreserve.gov/newsevents/pressreleases/monetary20170503a.htm"
"2017","20170614","https://www.federalreserve.gov/newsevents/pressreleases/monetary20170614a.htm"
"2017","20170726","https://www.federalreserve.gov/newsevents/pressreleases/monetary20170726a.htm"
"2017","20170920","https://www.federalreserve.gov/newsevents/pressreleases/monetary20170920a.htm"
"2017","20171101","https://www.federalreserve.gov/newsevents/pressreleases/monetary20171101a.htm"
"2017","20171213","https://www.federalreserve.gov/newsevents/pressreleases/monetary20171213a.htm"
"2018","20180131","https://www.federalreserve.gov/newsevents/pressreleases/monetary20180131a.htm"
"2018","20180321","https://www.federalreserve.gov/newsevents/pressreleases/monetary20180321a.htm"
"2018","20180502","https://www.federalreserve.gov/newsevents/pressreleases/monetary20180502a.htm"
"2018","20180613","https://www.federalreserve.gov/newsevents/pressreleases/monetary20180613a.htm"
"2018","20180801","https://www.federalreserve.gov/newsevents/pressreleases/monetary20180801a.htm"
"2018","20180926","https://www.federalreserve.gov/newsevents/pressreleases/monetary20180926a.htm"
"2018","20181108","https://www.federalreserve.gov/newsevents/pressreleases/monetary20181108a.htm"
"2018","20181219","https://www.federalreserve.gov/newsevents/pressreleases/monetary20181219a.htm"
"2019","20190130","https://www.federalreserve.gov/newsevents/pressreleases/monetary20190130a.htm"
"2019","20190320","https://www.federalreserve.gov/newsevents/pressreleases/monetary20190320a.htm"
"2019","20190501","https://www.federalreserve.gov/newsevents/pressreleases/monetary20190501a.htm"
"2019","20190619","https://www.federalreserve.gov/newsevents/pressreleases/monetary20190619a.htm"
"2019","20190731","https://www.federalreserve.gov/newsevents/pressreleases/monetary20190731a.htm"
"2019","20190918","https://www.federalreserve.gov/newsevents/pressreleases/monetary20190918a.htm"
"2019","20191030","https://www.federalreserve.gov/newsevents/pressreleases/monetary20191030a.htm"
"2019","20191211","https://www.federalreserve.gov/newsevents/pressreleases/monetary20191211a.htm"
"2020","20200129","https://www.federalreserve.gov/newsevents/pressreleases/monetary20200129a.htm"
"2020","20200303","https://www.federalreserve.gov/newsevents/pressreleases/monetary20200303a.htm"
"2020","20200315","https://www.federalreserve.gov/newsevents/pressreleases/monetary20200315a.htm"
"2020","20200323","https://www.federalreserve.gov/newsevents/pressreleases/monetary20200323a.htm"
"2020","20200429","https://www.federalreserve.gov/newsevents/pressreleases/monetary20200429a.htm"
"2020","20200610","https://www.federalreserve.gov/newsevents/pressreleases/monetary20200610a.htm"
"2020","20200729","https://www.federalreserve.gov/newsevents/pressreleases/monetary20200729a.htm"
"2020","20200916","https://www.federalreserve.gov/newsevents/pressreleases/monetary20200916a.htm"
"2020","20201105","https://www.federalreserve.gov/newsevents/pressreleases/monetary20201105a.htm"
"2020","20201216","https://www.federalreserve.gov/newsevents/pressreleases/monetary20201216a.htm"
"2021","20210127","https://www.federalreserve.gov/newsevents/pressreleases/monetary20210127a.htm"
